"","V1"
"nomin_HillaryClinton_1_169",3
"nomin_HillaryClinton_1_170",8
"nomin_HillaryClinton_1_171",3
"nomin_HillaryClinton_1_172",3
"nomin_HillaryClinton_1_173",3
"nomin_HillaryClinton_1_174",3
"nomin_HillaryClinton_1_175",4
"nomin_HillaryClinton_1_176",3
"nomin_HillaryClinton_1_177",14
"nomin_HillaryClinton_1_178",14
"nomin_HillaryClinton_1_179",14
"nomin_HillaryClinton_1_180",5
"nomin_HillaryClinton_1_181",5
"nomin_HillaryClinton_1_182",5
"nomin_HillaryClinton_1_183",5
"nomin_HillaryClinton_1_184",5
"nomin_HillaryClinton_1_185",2
"nomin_HillaryClinton_1_186",2
"nomin_HillaryClinton_1_187",2
"nomin_HillaryClinton_1_188",5
"nomin_HillaryClinton_1_189",3
"nomin_HillaryClinton_1_190",3
"nomin_HillaryClinton_1_191",2
"nomin_HillaryClinton_1_192",15
"nomin_HillaryClinton_1_193",2
"nomin_HillaryClinton_1_194",2
"nomin_HillaryClinton_1_195",10
"nomin_HillaryClinton_1_196",10
"nomin_HillaryClinton_1_197",5
"nomin_HillaryClinton_1_198",14
"nomin_HillaryClinton_1_199",15
"nomin_HillaryClinton_1_200",2
"nomin_HillaryClinton_1_201",2
"nomin_HillaryClinton_1_202",2
"nomin_HillaryClinton_1_203",2
"nomin_HillaryClinton_1_204",2
"nomin_HillaryClinton_1_205",2
"nomin_HillaryClinton_1_206",13
"nomin_HillaryClinton_1_207",2
"nomin_HillaryClinton_1_208",2
"nomin_HillaryClinton_1_209",2
"nomin_HillaryClinton_1_210",2
"nomin_HillaryClinton_1_211",2
"nomin_HillaryClinton_1_212",2
"nomin_HillaryClinton_1_213",5
"nomin_HillaryClinton_1_214",5
"nomin_HillaryClinton_1_215",5
"nomin_HillaryClinton_1_216",5
"nomin_HillaryClinton_1_217",5
"nomin_HillaryClinton_1_218",2
"nomin_HillaryClinton_1_219",2
"nomin_HillaryClinton_1_220",2
"nomin_HillaryClinton_1_221",2
"nomin_HillaryClinton_1_222",2
"nomin_HillaryClinton_1_223",2
"nomin_HillaryClinton_1_224",2
"nomin_HillaryClinton_1_225",5
"nomin_HillaryClinton_1_226",5
"nomin_HillaryClinton_1_227",15
"nomin_HillaryClinton_1_228",5
"nomin_HillaryClinton_1_229",5
"nomin_HillaryClinton_1_230",2
"nomin_HillaryClinton_1_231",2
"nomin_HillaryClinton_1_232",2
"nomin_HillaryClinton_1_233",2
"nomin_HillaryClinton_1_234",2
"nomin_HillaryClinton_1_235",2
"nomin_HillaryClinton_1_236",2
"nomin_HillaryClinton_1_237",2
"nomin_HillaryClinton_1_238",2
"nomin_HillaryClinton_1_239",2
"nomin_HillaryClinton_1_240",2
"nomin_HillaryClinton_1_241",2
"nomin_HillaryClinton_1_242",5
"nomin_HillaryClinton_1_243",14
"nomin_HillaryClinton_1_244",5
"nomin_HillaryClinton_1_245",5
"nomin_HillaryClinton_1_246",5
"nomin_HillaryClinton_1_247",5
"nomin_HillaryClinton_1_248",2
"nomin_HillaryClinton_1_249",2
"nomin_HillaryClinton_1_250",5
"nomin_HillaryClinton_1_251",2
"nomin_HillaryClinton_1_252",2
"nomin_HillaryClinton_1_253",5
"nomin_HillaryClinton_1_254",5
"nomin_HillaryClinton_1_255",5
"nomin_HillaryClinton_1_256",5
"nomin_HillaryClinton_1_257",5
"nomin_HillaryClinton_1_258",5
"nomin_HillaryClinton_1_259",5
"nomin_HillaryClinton_1_260",5
"nomin_HillaryClinton_1_261",5
"nomin_HillaryClinton_1_262",5
"nomin_HillaryClinton_1_263",5
"nomin_HillaryClinton_1_264",2
"nomin_HillaryClinton_1_265",3
"nomin_HillaryClinton_1_266",2
"nomin_HillaryClinton_1_267",5
"nomin_HillaryClinton_1_268",10
"nomin_HillaryClinton_1_269",12
"nomin_HillaryClinton_1_270",12
"nomin_HillaryClinton_1_271",12
"nomin_HillaryClinton_1_272",12
"nomin_HillaryClinton_1_273",12
"nomin_HillaryClinton_1_274",15
"nomin_HillaryClinton_1_275",15
"nomin_HillaryClinton_1_276",5
"nomin_HillaryClinton_1_277",5
"nomin_HillaryClinton_1_278",5
"nomin_HillaryClinton_1_279",5
"nomin_HillaryClinton_1_280",5
"nomin_HillaryClinton_1_281",12
"nomin_HillaryClinton_1_282",12
"nomin_HillaryClinton_1_283",12
"nomin_HillaryClinton_1_284",5
"nomin_HillaryClinton_1_285",5
"nomin_HillaryClinton_1_286",5
"nomin_HillaryClinton_1_287",5
"nomin_HillaryClinton_1_288",5
"nomin_HillaryClinton_1_289",4
"nomin_HillaryClinton_1_290",12
"nomin_HillaryClinton_1_291",4
"nomin_HillaryClinton_1_292",5
"nomin_HillaryClinton_1_293",5
"nomin_HillaryClinton_1_294",5
"nomin_HillaryClinton_1_295",11
"nomin_HillaryClinton_1_296",2
"nomin_HillaryClinton_1_297",5
"nomin_HillaryClinton_1_298",14
"nomin_HillaryClinton_1_299",5
"nomin_HillaryClinton_1_300",14
"nomin_HillaryClinton_1_301",5
"nomin_HillaryClinton_1_302",14
"nomin_HillaryClinton_1_303",14
"nomin_HillaryClinton_1_304",14
"nomin_HillaryClinton_1_305",4
"nomin_HillaryClinton_1_306",4
"nomin_HillaryClinton_1_307",4
"nomin_HillaryClinton_1_308",10
"nomin_HillaryClinton_1_309",8
"nomin_HillaryClinton_1_310",8
"nomin_HillaryClinton_1_311",8
"nomin_HillaryClinton_1_312",5
"nomin_HillaryClinton_1_313",5
"nomin_HillaryClinton_1_314",5
"nomin_HillaryClinton_1_315",5
"nomin_HillaryClinton_1_316",5
"nomin_HillaryClinton_1_317",5
"nomin_HillaryClinton_1_318",5
"nomin_HillaryClinton_1_319",5
"nomin_HillaryClinton_1_320",6
"nomin_HillaryClinton_1_321",5
"nomin_HillaryClinton_1_322",2
"nomin_HillaryClinton_1_323",3
"nomin_HillaryClinton_1_324",3
"nomin_HillaryClinton_1_325",3
"nomin_HillaryClinton_1_326",5
"nomin_HillaryClinton_1_327",5
"nomin_HillaryClinton_1_328",5
"nomin_HillaryClinton_1_329",5
"nomin_HillaryClinton_1_330",5
"nomin_HillaryClinton_1_331",5
"nomin_HillaryClinton_1_332",5
"nomin_HillaryClinton_1_333",2
"nomin_HillaryClinton_1_334",5
"nomin_HillaryClinton_1_335",5
"nomin_HillaryClinton_1_336",5
"nomin_HillaryClinton_1_337",5
"nomin_HillaryClinton_1_338",2
"nomin_HillaryClinton_1_339",3
"nomin_HillaryClinton_1_340",3
"nomin_HillaryClinton_1_341",3
"nomin_HillaryClinton_1_342",13
"nomin_HillaryClinton_1_343",13
"nomin_HillaryClinton_1_344",3
"nomin_HillaryClinton_1_345",3
"nomin_HillaryClinton_1_346",3
"nomin_HillaryClinton_1_347",3
"nomin_HillaryClinton_1_348",3
"nomin_HillaryClinton_1_349",3
"nomin_HillaryClinton_1_350",3
"nomin_HillaryClinton_1_351",3
"nomin_BarackObama *_2_2",4
"nomin_BarackObama *_2_3",4
"nomin_BarackObama *_2_4",4
"nomin_BarackObama *_2_5",4
"nomin_BarackObama *_2_6",4
"nomin_BarackObama *_2_7",4
"nomin_BarackObama *_2_8",4
"nomin_BarackObama *_2_9",4
"nomin_BarackObama *_2_10",14
"nomin_BarackObama *_2_11",14
"nomin_BarackObama *_2_12",14
"nomin_BarackObama *_2_13",4
"nomin_BarackObama *_2_14",4
"nomin_BarackObama *_2_15",4
"nomin_BarackObama *_2_16",4
"nomin_BarackObama *_2_17",4
"nomin_BarackObama *_2_18",4
"nomin_BarackObama *_2_19",4
"nomin_BarackObama *_2_20",4
"nomin_BarackObama *_2_21",4
"nomin_BarackObama *_2_22",4
"nomin_BarackObama *_2_23",4
"nomin_BarackObama *_2_24",4
"nomin_BarackObama *_2_25",4
"nomin_BarackObama *_2_26",14
"nomin_BarackObama *_2_27",14
"nomin_BarackObama *_2_28",14
"nomin_BarackObama *_2_29",14
"nomin_BarackObama *_2_30",14
"nomin_BarackObama *_2_31",14
"nomin_BarackObama *_2_32",5
"nomin_BarackObama *_2_33",5
"nomin_BarackObama *_2_34",5
"nomin_BarackObama *_2_35",11
"nomin_BarackObama *_2_36",2
"nomin_BarackObama *_2_37",11
"nomin_BarackObama *_2_38",11
"nomin_BarackObama *_2_39",2
"nomin_BarackObama *_2_40",12
"nomin_BarackObama *_2_41",2
"nomin_BarackObama *_2_42",1
"nomin_BarackObama *_2_43",2
"nomin_BarackObama *_2_44",2
"nomin_BarackObama *_2_45",2
"nomin_BarackObama *_2_46",2
"nomin_BarackObama *_2_47",2
"nomin_BarackObama *_2_48",2
"nomin_BarackObama *_2_49",2
"nomin_BarackObama *_2_50",5
"nomin_BarackObama *_2_51",5
"nomin_BarackObama *_2_52",5
"nomin_BarackObama *_2_53",2
"nomin_BarackObama *_2_54",2
"nomin_BarackObama *_2_55",4
"nomin_BarackObama *_2_56",2
"nomin_BarackObama *_2_57",2
"nomin_BarackObama *_2_58",2
"nomin_BarackObama *_2_59",2
"nomin_BarackObama *_2_60",2
"nomin_BarackObama *_2_61",2
"nomin_BarackObama *_2_62",5
"nomin_BarackObama *_2_63",5
"nomin_BarackObama *_2_64",3
"nomin_BarackObama *_2_65",5
"nomin_BarackObama *_2_66",5
"nomin_BarackObama *_2_67",5
"nomin_BarackObama *_2_68",14
"nomin_BarackObama *_2_69",6
"nomin_BarackObama *_2_70",6
"nomin_BarackObama *_2_71",6
"nomin_BarackObama *_2_72",6
"nomin_BarackObama *_2_73",3
"nomin_BarackObama *_2_74",6
"nomin_BarackObama *_2_75",6
"nomin_BarackObama *_2_76",6
"nomin_BarackObama *_2_77",4
"nomin_BarackObama *_2_78",14
"nomin_BarackObama *_2_79",14
"nomin_BarackObama *_2_80",14
"nomin_BarackObama *_2_81",14
"nomin_BarackObama *_2_82",2
"nomin_BarackObama *_2_83",5
"nomin_BarackObama *_2_84",5
"nomin_BarackObama *_2_85",5
"nomin_BarackObama *_2_86",5
"nomin_BarackObama *_2_87",2
"nomin_BarackObama *_2_88",2
"nomin_BarackObama *_2_89",4
"nomin_BarackObama *_2_90",4
"nomin_BarackObama *_2_98",4
"nomin_BarackObama *_2_99",14
"nomin_BarackObama *_2_100",2
"nomin_BarackObama *_2_101",2
"nomin_BarackObama *_2_102",2
"nomin_BarackObama *_2_103",2
"nomin_BarackObama *_2_104",6
"nomin_BarackObama *_2_105",6
"nomin_BarackObama *_2_106",6
"nomin_BarackObama *_2_107",6
"nomin_BarackObama *_2_108",14
"nomin_BarackObama *_2_109",14
"nomin_BarackObama *_2_110",14
"nomin_BarackObama *_2_111",14
"nomin_BarackObama *_2_112",6
"nomin_BarackObama *_2_113",6
"nomin_BarackObama *_2_114",6
"nomin_BarackObama *_2_115",2
"nomin_BarackObama *_2_116",6
"nomin_BarackObama *_2_117",6
"nomin_BarackObama *_2_118",6
"nomin_BarackObama *_2_119",6
"nomin_BarackObama *_2_120",2
"nomin_BarackObama *_2_121",1
"nomin_BarackObama *_2_122",6
"nomin_BarackObama *_2_123",2
"nomin_BarackObama *_2_124",6
"nomin_BarackObama *_2_125",6
"nomin_BarackObama *_2_126",6
"nomin_BarackObama *_2_127",14
"nomin_BarackObama *_2_128",2
"nomin_BarackObama *_2_129",2
"nomin_BarackObama *_2_130",2
"nomin_BarackObama *_2_131",2
"nomin_BarackObama *_2_132",2
"nomin_BarackObama *_2_133",2
"nomin_BarackObama *_2_134",2
"nomin_BarackObama *_2_135",3
"nomin_BarackObama *_2_136",2
"nomin_BarackObama *_2_137",6
"nomin_BarackObama *_2_138",2
"nomin_BarackObama *_2_139",2
"nomin_BarackObama *_2_140",2
"nomin_BarackObama *_2_141",2
"nomin_BarackObama *_2_142",2
"nomin_BarackObama *_2_143",2
"nomin_BarackObama *_2_144",2
"nomin_BarackObama *_2_145",2
"nomin_BarackObama *_2_146",2
"nomin_BarackObama *_2_147",3
"nomin_BarackObama *_2_148",6
"nomin_BarackObama *_2_149",3
"nomin_BarackObama *_2_150",6
"nomin_BarackObama *_2_151",12
"nomin_BarackObama *_2_152",12
"nomin_BarackObama *_2_153",12
"nomin_BarackObama *_2_154",12
"nomin_BarackObama *_2_155",12
"nomin_BarackObama *_2_156",4
"nomin_BarackObama *_2_157",4
"nomin_BarackObama *_2_165",4
"nomin_BarackObama *_2_166",3
"nomin_BarackObama *_2_167",3
"nomin_BarackObama *_2_168",15
"nomin_BarackObama *_2_169",15
"nomin_BarackObama *_2_170",15
"nomin_BarackObama *_2_171",12
"nomin_BarackObama *_2_172",12
"nomin_BarackObama *_2_173",12
"nomin_BarackObama *_2_174",8
"nomin_BarackObama *_2_175",8
"nomin_BarackObama *_2_176",12
"nomin_BarackObama *_2_177",12
"nomin_BarackObama *_2_178",12
"nomin_BarackObama *_2_179",6
"nomin_BarackObama *_2_180",6
"nomin_BarackObama *_2_181",5
"nomin_BarackObama *_2_182",5
"nomin_BarackObama *_2_183",5
"nomin_BarackObama *_2_184",12
"nomin_BarackObama *_2_185",12
"nomin_BarackObama *_2_186",5
"nomin_BarackObama *_2_187",2
"nomin_BarackObama *_2_188",2
"nomin_BarackObama *_2_189",2
"nomin_BarackObama *_2_190",2
"nomin_BarackObama *_2_191",2
"nomin_BarackObama *_2_192",2
"nomin_BarackObama *_2_193",2
"nomin_BarackObama *_2_194",2
"nomin_BarackObama *_2_195",2
"nomin_BarackObama *_2_196",11
"nomin_BarackObama *_2_197",5
"nomin_BarackObama *_2_198",5
"nomin_BarackObama *_2_199",5
"nomin_BarackObama *_2_200",2
"nomin_BarackObama *_2_201",2
"nomin_BarackObama *_2_202",2
"nomin_BarackObama *_2_203",2
"nomin_BarackObama *_2_204",2
"nomin_BarackObama *_2_205",2
"nomin_BarackObama *_2_206",2
"nomin_BarackObama *_2_207",2
"nomin_BarackObama *_2_208",2
"nomin_BarackObama *_2_209",2
"nomin_BarackObama *_2_210",6
"nomin_BarackObama *_2_211",2
"nomin_BarackObama *_2_212",5
"nomin_BarackObama *_2_213",2
"nomin_BarackObama *_2_214",2
"nomin_BarackObama *_2_215",2
"nomin_BarackObama *_2_216",2
"nomin_BarackObama *_2_217",2
"nomin_BarackObama *_2_218",5
"nomin_BarackObama *_2_219",8
"nomin_BarackObama *_2_220",8
"nomin_BarackObama *_2_221",6
"nomin_BarackObama *_2_222",2
"nomin_BarackObama *_2_223",2
"nomin_BarackObama *_2_224",2
"nomin_BarackObama *_2_225",2
"nomin_BarackObama *_2_226",2
"nomin_BarackObama *_2_227",2
"nomin_BarackObama *_2_228",2
"nomin_BarackObama *_2_229",2
"nomin_BarackObama *_2_230",5
"nomin_BarackObama *_2_231",5
"nomin_BarackObama *_2_232",5
"nomin_BarackObama *_2_233",13
"nomin_BarackObama *_2_234",13
"nomin_BarackObama *_2_235",13
"nomin_BarackObama *_2_236",5
"nomin_BarackObama *_2_237",5
"nomin_BarackObama *_2_238",5
"nomin_BarackObama *_2_239",4
"nomin_BarackObama *_2_240",5
"nomin_BarackObama *_2_241",5
"nomin_BarackObama *_2_242",2
"nomin_BarackObama *_2_243",2
"nomin_BarackObama *_2_244",2
"nomin_BarackObama *_2_245",13
"nomin_BarackObama *_2_246",15
"nomin_BarackObama *_2_247",13
"nomin_BarackObama *_2_248",2
"nomin_BarackObama *_2_249",2
"nomin_BarackObama *_2_251",5
"nomin_BarackObama *_2_252",15
"nomin_BarackObama *_2_253",5
"nomin_BarackObama *_2_254",2
"nomin_BarackObama *_2_255",5
"nomin_BarackObama *_2_256",5
"nomin_BarackObama *_2_257",14
"nomin_BarackObama *_2_258",6
"nomin_BarackObama *_2_259",14
"nomin_BarackObama *_2_260",4
"nomin_BarackObama *_2_261",4
"nomin_BarackObama *_2_262",5
"nomin_BarackObama *_2_263",5
"nomin_BarackObama *_2_264",5
"nomin_BarackObama *_2_265",5
"nomin_BarackObama *_2_266",5
"nomin_BarackObama *_2_267",3
"nomin_BarackObama *_2_268",3
"nomin_BarackObama *_2_269",6
"nomin_BarackObama *_2_270",2
"nomin_BarackObama *_2_271",2
"nomin_BarackObama *_2_272",2
"nomin_BarackObama *_2_273",4
"nomin_BarackObama *_2_274",4
"nomin_BarackObama *_2_275",4
"nomin_BarackObama *_2_276",4
"nomin_BarackObama *_2_277",5
"nomin_BarackObama *_2_278",5
"nomin_BarackObama *_2_279",13
"nomin_BarackObama *_2_280",13
"nomin_BarackObama *_2_281",13
"nomin_BarackObama *_2_282",11
"nomin_BarackObama *_2_283",6
"nomin_BarackObama *_2_284",6
"nomin_BarackObama *_2_285",3
"nomin_BarackObama *_2_286",3
"nomin_BarackObama *_2_287",3
"nomin_BarackObama *_2_288",3
"nomin_BarackObama *_2_289",3
"nomin_BarackObama *_2_290",5
"nomin_BarackObama *_2_291",5
"nomin_BarackObama *_2_292",4
"nomin_BarackObama *_2_293",13
"nomin_BarackObama *_1_2",4
"nomin_BarackObama *_1_3",4
"nomin_BarackObama *_1_4",4
"nomin_BarackObama *_1_5",4
"nomin_BarackObama *_1_6",4
"nomin_BarackObama *_1_7",4
"nomin_BarackObama *_1_8",4
"nomin_BarackObama *_1_9",4
"nomin_BarackObama *_1_10",4
"nomin_BarackObama *_1_11",3
"nomin_BarackObama *_1_12",3
"nomin_BarackObama *_1_13",3
"nomin_BarackObama *_1_14",3
"nomin_BarackObama *_1_15",2
"nomin_BarackObama *_1_16",2
"nomin_BarackObama *_1_17",2
"nomin_BarackObama *_1_18",2
"nomin_BarackObama *_1_19",4
"nomin_BarackObama *_1_20",4
"nomin_BarackObama *_1_21",14
"nomin_BarackObama *_1_22",14
"nomin_BarackObama *_1_23",2
"nomin_BarackObama *_1_24",2
"nomin_BarackObama *_1_25",2
"nomin_BarackObama *_1_26",3
"nomin_BarackObama *_1_27",3
"nomin_BarackObama *_1_28",3
"nomin_BarackObama *_1_29",3
"nomin_BarackObama *_1_30",14
"nomin_BarackObama *_1_31",14
"nomin_BarackObama *_1_32",4
"nomin_BarackObama *_1_33",4
"nomin_BarackObama *_1_34",4
"nomin_BarackObama *_1_35",4
"nomin_BarackObama *_1_36",4
"nomin_BarackObama *_1_37",2
"nomin_BarackObama *_1_38",2
"nomin_BarackObama *_1_39",2
"nomin_BarackObama *_1_40",4
"nomin_BarackObama *_1_41",8
"nomin_BarackObama *_1_42",4
"nomin_BarackObama *_1_43",4
"nomin_BarackObama *_1_44",4
"nomin_BarackObama *_1_45",5
"nomin_BarackObama *_1_46",2
"nomin_BarackObama *_1_47",5
"nomin_BarackObama *_1_48",5
"nomin_BarackObama *_1_49",5
"nomin_BarackObama *_1_50",5
"nomin_BarackObama *_1_51",2
"nomin_BarackObama *_1_52",2
"nomin_BarackObama *_1_53",2
"nomin_BarackObama *_1_54",5
"nomin_BarackObama *_1_55",5
"nomin_BarackObama *_1_56",2
"nomin_BarackObama *_1_57",2
"nomin_BarackObama *_1_58",2
"nomin_BarackObama *_1_59",2
"nomin_BarackObama *_1_60",2
"nomin_BarackObama *_1_61",5
"nomin_BarackObama *_1_62",5
"nomin_BarackObama *_1_63",5
"nomin_BarackObama *_1_64",6
"nomin_BarackObama *_1_65",14
"nomin_BarackObama *_1_66",6
"nomin_BarackObama *_1_67",2
"nomin_BarackObama *_1_68",2
"nomin_BarackObama *_1_69",2
"nomin_BarackObama *_1_70",2
"nomin_BarackObama *_1_71",2
"nomin_BarackObama *_1_72",2
"nomin_BarackObama *_1_73",2
"nomin_BarackObama *_1_74",2
"nomin_BarackObama *_1_75",2
"nomin_BarackObama *_1_76",2
"nomin_BarackObama *_1_77",5
"nomin_BarackObama *_1_78",5
"nomin_BarackObama *_1_79",5
"nomin_BarackObama *_1_80",5
"nomin_BarackObama *_1_81",5
"nomin_BarackObama *_1_82",3
"nomin_BarackObama *_1_83",7
"nomin_BarackObama *_1_84",3
"nomin_BarackObama *_1_85",3
"nomin_BarackObama *_1_86",3
"nomin_BarackObama *_1_87",2
"nomin_BarackObama *_1_88",2
"nomin_BarackObama *_1_89",2
"nomin_BarackObama *_1_90",6
"nomin_BarackObama *_1_91",2
"nomin_BarackObama *_1_92",2
"nomin_BarackObama *_1_93",2
"nomin_BarackObama *_1_94",3
"nomin_BarackObama *_1_95",3
"nomin_BarackObama *_1_96",13
"nomin_BarackObama *_1_97",2
"nomin_BarackObama *_1_98",6
"nomin_BarackObama *_1_99",2
"nomin_BarackObama *_1_100",2
"nomin_BarackObama *_1_101",2
"nomin_BarackObama *_1_102",2
"nomin_BarackObama *_1_103",2
"nomin_BarackObama *_1_104",2
"nomin_BarackObama *_1_105",2
"nomin_BarackObama *_1_106",6
"nomin_BarackObama *_1_107",4
"nomin_BarackObama *_1_108",4
"nomin_BarackObama *_1_109",4
"nomin_BarackObama *_1_110",6
"nomin_BarackObama *_1_111",2
"nomin_BarackObama *_1_112",2
"nomin_BarackObama *_1_113",2
"nomin_BarackObama *_1_114",2
"nomin_BarackObama *_1_115",2
"nomin_BarackObama *_1_116",2
"nomin_BarackObama *_1_117",2
"nomin_BarackObama *_1_118",2
"nomin_BarackObama *_1_119",2
"nomin_BarackObama *_1_120",2
"nomin_BarackObama *_1_121",2
"nomin_BarackObama *_1_122",2
"nomin_BarackObama *_1_123",15
"nomin_BarackObama *_1_124",2
"nomin_BarackObama *_1_125",2
"nomin_BarackObama *_1_126",2
"nomin_BarackObama *_1_127",2
"nomin_BarackObama *_1_128",2
"nomin_BarackObama *_1_129",2
"nomin_BarackObama *_1_130",2
"nomin_BarackObama *_1_131",2
"nomin_BarackObama *_1_132",2
"nomin_BarackObama *_1_133",2
"nomin_BarackObama *_1_134",2
"nomin_BarackObama *_1_135",6
"nomin_BarackObama *_1_136",6
"nomin_BarackObama *_1_137",3
"nomin_BarackObama *_1_138",6
"nomin_BarackObama *_1_139",6
"nomin_BarackObama *_1_140",2
"nomin_BarackObama *_1_141",6
"nomin_BarackObama *_1_142",6
"nomin_BarackObama *_1_143",2
"nomin_BarackObama *_1_144",4
"nomin_BarackObama *_1_145",4
"nomin_BarackObama *_1_146",4
"nomin_BarackObama *_1_147",4
"nomin_BarackObama *_1_148",4
"nomin_BarackObama *_1_149",4
"nomin_BarackObama *_1_150",6
"nomin_BarackObama *_1_151",6
"nomin_BarackObama *_1_152",12
"nomin_BarackObama *_1_153",5
"nomin_BarackObama *_1_154",5
"nomin_BarackObama *_1_155",4
"nomin_BarackObama *_1_156",4
"nomin_BarackObama *_1_157",5
"nomin_BarackObama *_1_158",5
"nomin_BarackObama *_1_159",5
"nomin_BarackObama *_1_160",12
"nomin_BarackObama *_1_161",12
"nomin_BarackObama *_1_162",12
"nomin_BarackObama *_1_163",12
"nomin_BarackObama *_1_164",12
"nomin_BarackObama *_1_165",12
"nomin_BarackObama *_1_166",12
"nomin_BarackObama *_1_167",3
"nomin_BarackObama *_1_168",3
"nomin_BarackObama *_1_169",3
"nomin_BarackObama *_1_170",4
"nomin_BarackObama *_1_171",11
"nomin_BarackObama *_1_172",11
"nomin_BarackObama *_1_173",11
"nomin_BarackObama *_1_174",11
"nomin_BarackObama *_1_175",4
"nomin_BarackObama *_1_176",3
"nomin_BarackObama *_1_177",3
"nomin_BarackObama *_1_178",3
"nomin_BarackObama *_1_179",5
"nomin_BarackObama *_1_180",11
"nomin_BarackObama *_1_181",2
"nomin_BarackObama *_1_182",14
"nomin_BarackObama *_1_183",14
"nomin_BarackObama *_1_184",2
"nomin_BarackObama *_1_185",15
"nomin_BarackObama *_1_186",15
"nomin_BarackObama *_1_187",5
"nomin_BarackObama *_1_188",3
"nomin_BarackObama *_1_189",3
"nomin_BarackObama *_1_190",5
"nomin_BarackObama *_1_191",5
"nomin_BarackObama *_1_192",11
"nomin_BarackObama *_1_193",5
"nomin_BarackObama *_1_194",5
"nomin_BarackObama *_1_195",5
"nomin_BarackObama *_1_196",2
"nomin_BarackObama *_1_197",5
"nomin_BarackObama *_1_198",5
"nomin_BarackObama *_1_199",5
"nomin_BarackObama *_1_200",13
"nomin_BarackObama *_1_201",5
"nomin_BarackObama *_1_202",5
"nomin_BarackObama *_1_203",5
"nomin_BarackObama *_1_204",3
"nomin_BarackObama *_1_205",11
"nomin_BarackObama *_1_206",14
"nomin_BarackObama *_1_207",14
"nomin_BarackObama *_1_208",5
"nomin_BarackObama *_1_209",6
"nomin_BarackObama *_1_210",6
"nomin_BarackObama *_1_211",6
"nomin_BarackObama *_1_212",5
"nomin_BarackObama *_1_213",5
"nomin_BarackObama *_1_214",2
"nomin_BarackObama *_1_215",2
"nomin_BarackObama *_1_216",2
"nomin_BarackObama *_1_217",5
"nomin_BarackObama *_1_218",11
"nomin_BarackObama *_1_219",11
"nomin_BarackObama *_1_220",2
"nomin_BarackObama *_1_221",5
"nomin_BarackObama *_1_222",12
"nomin_BarackObama *_1_223",3
"nomin_BarackObama *_1_224",3
"nomin_BarackObama *_1_225",3
"nomin_BarackObama *_1_226",3
"nomin_BarackObama *_1_227",3
"nomin_BarackObama *_1_228",3
"nomin_BarackObama *_1_229",3
"nomin_BarackObama *_1_230",3
"nomin_BarackObama *_1_231",3
"nomin_BarackObama *_1_232",3
"nomin_BarackObama *_1_233",3
"nomin_BarackObama *_1_234",3
"nomin_BarackObama *_1_235",3
"nomin_BarackObama *_1_236",15
"nomin_BarackObama *_1_237",3
"nomin_BarackObama *_1_238",6
"nomin_BarackObama *_1_239",5
"nomin_BarackObama *_1_240",2
"nomin_BarackObama *_1_241",2
"nomin_BarackObama *_1_242",2
"nomin_BarackObama *_1_243",3
"nomin_BarackObama *_1_244",3
"nomin_BarackObama *_1_245",3
"nomin_BarackObama *_1_246",3
"nomin_BarackObama *_1_247",3
"nomin_JohnFKerry_1_2",4
"nomin_JohnFKerry_1_3",3
"nomin_JohnFKerry_1_4",3
"nomin_JohnFKerry_1_5",3
"nomin_JohnFKerry_1_6",2
"nomin_JohnFKerry_1_7",3
"nomin_JohnFKerry_1_8",13
"nomin_JohnFKerry_1_9",13
"nomin_JohnFKerry_1_10",13
"nomin_JohnFKerry_1_11",2
"nomin_JohnFKerry_1_12",13
"nomin_JohnFKerry_1_13",13
"nomin_JohnFKerry_1_14",5
"nomin_JohnFKerry_1_15",5
"nomin_JohnFKerry_1_16",5
"nomin_JohnFKerry_1_17",2
"nomin_JohnFKerry_1_18",2
"nomin_JohnFKerry_1_19",2
"nomin_JohnFKerry_1_20",2
"nomin_JohnFKerry_1_21",2
"nomin_JohnFKerry_1_22",2
"nomin_JohnFKerry_1_23",8
"nomin_JohnFKerry_1_24",8
"nomin_JohnFKerry_1_25",4
"nomin_JohnFKerry_1_26",5
"nomin_JohnFKerry_1_27",4
"nomin_JohnFKerry_1_28",2
"nomin_JohnFKerry_1_29",12
"nomin_JohnFKerry_1_30",12
"nomin_JohnFKerry_1_31",12
"nomin_JohnFKerry_1_32",4
"nomin_JohnFKerry_1_33",4
"nomin_JohnFKerry_1_34",4
"nomin_JohnFKerry_1_35",4
"nomin_JohnFKerry_1_36",13
"nomin_JohnFKerry_1_37",5
"nomin_JohnFKerry_1_38",13
"nomin_JohnFKerry_1_39",3
"nomin_JohnFKerry_1_40",2
"nomin_JohnFKerry_1_41",3
"nomin_JohnFKerry_1_42",3
"nomin_JohnFKerry_1_43",3
"nomin_JohnFKerry_1_44",3
"nomin_JohnFKerry_1_45",8
"nomin_JohnFKerry_1_46",5
"nomin_JohnFKerry_1_47",4
"nomin_JohnFKerry_1_48",3
"nomin_JohnFKerry_1_49",13
"nomin_JohnFKerry_1_50",5
"nomin_JohnFKerry_1_51",3
"nomin_JohnFKerry_1_52",3
"nomin_JohnFKerry_1_53",3
"nomin_JohnFKerry_1_54",3
"nomin_JohnFKerry_1_55",3
"nomin_JohnFKerry_1_56",4
"nomin_JohnFKerry_1_57",4
"nomin_JohnFKerry_1_58",11
"nomin_JohnFKerry_1_59",2
