"","V1"
"inaug_ThomasJefferson *_2_14",1
"inaug_ThomasJefferson *_2_15",1
"inaug_ThomasJefferson *_2_16",7
"inaug_ThomasJefferson *_2_17",7
"inaug_ThomasJefferson *_2_18",7
"inaug_ThomasJefferson *_2_19",7
"inaug_ThomasJefferson *_2_20",7
"inaug_ThomasJefferson *_2_21",7
"inaug_ThomasJefferson *_2_22",7
"inaug_ThomasJefferson *_2_23",7
"inaug_ThomasJefferson *_2_24",7
"inaug_ThomasJefferson *_2_25",7
"inaug_ThomasJefferson *_2_26",7
"inaug_ThomasJefferson *_2_27",7
"inaug_ThomasJefferson *_2_28",8
"inaug_ThomasJefferson *_2_29",8
"inaug_ThomasJefferson *_2_30",9
"inaug_ThomasJefferson *_2_31",8
"inaug_ThomasJefferson *_2_32",9
"inaug_ThomasJefferson *_2_33",9
"inaug_ThomasJefferson *_2_34",9
"inaug_ThomasJefferson *_2_35",8
"inaug_ThomasJefferson *_2_36",8
"inaug_ThomasJefferson *_2_37",7
"inaug_ThomasJefferson *_2_38",9
"inaug_ThomasJefferson *_2_39",9
"inaug_ThomasJefferson *_2_40",9
"inaug_ThomasJefferson *_2_41",9
"inaug_ThomasJefferson *_2_42",9
"inaug_ThomasJefferson *_2_43",9
"inaug_ThomasJefferson *_2_44",10
"inaug_ThomasJefferson *_2_45",10
"inaug_ThomasJefferson *_2_46",10
"inaug_ThomasJefferson *_2_47",9
"inaug_ThomasJefferson *_2_48",9
"inaug_ThomasJefferson *_2_49",9
"inaug_ThomasJefferson *_2_50",9
"inaug_ThomasJefferson *_2_51",9
"inaug_ThomasJefferson *_2_52",9
"inaug_ThomasJefferson *_2_53",9
"inaug_ThomasJefferson *_2_54",9
"inaug_ThomasJefferson *_2_55",11
"inaug_ThomasJefferson *_2_56",10
"inaug_ThomasJefferson *_2_57",10
"inaug_ThomasJefferson *_2_58",9
"inaug_ThomasJefferson *_2_59",9
"inaug_ThomasJefferson *_2_60",9
"inaug_ThomasJefferson *_2_61",9
"inaug_ThomasJefferson *_2_62",9
"inaug_ThomasJefferson *_2_63",15
"inaug_ThomasJefferson *_2_64",9
"inaug_ThomasJefferson *_2_65",9
"inaug_ThomasJefferson *_2_66",9
"inaug_ThomasJefferson *_2_67",9
"inaug_ThomasJefferson *_2_68",9
"inaug_ThomasJefferson *_2_69",9
"inaug_ThomasJefferson *_2_70",9
"inaug_JamesMadison_1_2",9
"inaug_JamesMadison_1_3",9
"inaug_JamesMadison_1_4",9
"inaug_JamesMadison_1_5",9
"inaug_JamesMadison_1_6",1
"inaug_JamesMadison_1_7",1
"inaug_JamesMadison_1_8",9
"inaug_JamesMadison_1_9",9
"inaug_JamesMadison_1_10",9
"inaug_JamesMadison_1_11",9
"inaug_JamesMadison_1_12",9
"inaug_JamesMadison_1_13",9
"inaug_JamesMadison_1_14",9
"inaug_JamesMadison_1_15",9
"inaug_JamesMadison_1_16",9
"inaug_JamesMadison_1_17",9
"inaug_JamesMadison_1_18",12
"inaug_JamesMadison_1_19",11
"inaug_JamesMadison_1_20",9
"inaug_JamesMadison_1_21",8
"inaug_JamesMadison_1_22",7
"inaug_JamesMadison_1_23",7
"inaug_JamesMadison_1_24",7
"inaug_JamesMadison_1_25",10
"inaug_JamesMadison_1_26",8
"inaug_JamesMadison_1_27",1
"inaug_JamesMadison_1_28",9
"inaug_JamesMadison_1_29",12
"inaug_JamesMadison_1_30",12
"inaug_JamesMadison_1_31",9
"inaug_JamesMadison_1_32",9
"inaug_JamesMadison_1_33",9
"inaug_JamesMadison_1_34",9
"inaug_JamesMadison_1_35",9
"inaug_JamesMadison_1_36",9
"inaug_JamesMadison_2_2",9
"inaug_JamesMadison_2_3",9
"inaug_JamesMadison_2_4",9
"inaug_JamesMadison_2_5",9
"inaug_JamesMadison_2_6",10
"inaug_JamesMadison_2_7",7
"inaug_JamesMadison_2_8",7
"inaug_JamesMadison_2_9",7
"inaug_JamesMadison_2_10",7
"inaug_JamesMadison_2_11",7
"inaug_JamesMadison_2_12",12
"inaug_JamesMadison_2_13",9
"inaug_JamesMadison_2_14",9
"inaug_JamesMadison_2_15",9
"inaug_JamesMadison_2_16",12
"inaug_JamesMadison_2_17",7
"inaug_JamesMadison_2_18",10
"inaug_JamesMadison_2_19",12
"inaug_JamesMadison_2_20",12
"inaug_JamesMadison_2_21",12
"inaug_JamesMadison_2_22",12
"inaug_JamesMadison_2_23",12
"inaug_JamesMadison_2_24",9
"inaug_JamesMadison_2_25",9
"inaug_JamesMadison_2_26",9
"inaug_JamesMadison_2_27",7
"inaug_JamesMadison_2_28",12
"inaug_JamesMadison_2_29",12
"inaug_JamesMadison_2_30",8
"inaug_JamesMadison_2_31",8
"inaug_JamesMadison_2_32",1
"inaug_JamesMadison_2_33",1
"inaug_JamesMadison_2_34",1
"inaug_JamesMadison_2_35",1
"inaug_JamesMadison_2_36",9
"inaug_JamesMadison_2_37",9
"inaug_JamesMadison_2_38",9
"inaug_JamesMonroe *_1_2",9
"inaug_JamesMonroe *_1_3",9
"inaug_JamesMonroe *_1_4",9
"inaug_JamesMonroe *_1_5",9
"inaug_JamesMonroe *_1_6",9
"inaug_JamesMonroe *_1_7",9
"inaug_JamesMonroe *_1_8",9
"inaug_JamesMonroe *_1_9",7
"inaug_JamesMonroe *_1_10",7
"inaug_JamesMonroe *_1_11",7
"inaug_JamesMonroe *_1_12",7
"inaug_JamesMonroe *_1_13",7
"inaug_JamesMonroe *_1_14",7
"inaug_JamesMonroe *_1_15",8
"inaug_JamesMonroe *_1_16",7
"inaug_JamesMonroe *_1_17",7
"inaug_JamesMonroe *_1_18",7
"inaug_JamesMonroe *_1_19",7
"inaug_JamesMonroe *_1_20",7
"inaug_JamesMonroe *_1_21",7
"inaug_JamesMonroe *_1_22",8
"inaug_JamesMonroe *_1_23",9
"inaug_JamesMonroe *_1_24",9
"inaug_JamesMonroe *_1_25",9
"inaug_JamesMonroe *_1_26",7
"inaug_JamesMonroe *_1_27",7
"inaug_JamesMonroe *_1_28",7
"inaug_JamesMonroe *_1_29",7
"inaug_JamesMonroe *_1_30",7
"inaug_JamesMonroe *_1_31",12
"inaug_JamesMonroe *_1_32",7
"inaug_JamesMonroe *_1_33",9
"inaug_JamesMonroe *_1_34",7
"inaug_JamesMonroe *_1_35",7
